Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,45.7031,45.8438,45.6875,45.7812,28.7148,324300
1995-01-04,45.9844,46.0,45.75,46.0,28.852,351800
1995-01-05,46.0312,46.1094,45.9531,46.0,28.852,89800
1995-01-06,46.0938,46.25,45.9062,46.0469,28.8813,448400
1995-01-09,46.0312,46.0938,46.0,46.0938,28.9108,36800
1995-01-10,46.2031,46.3906,46.1406,46.1406,28.9402,229800
1995-01-11,46.2969,46.2969,45.8125,46.1719,28.9598,222400
1995-01-12,46.125,46.2188,46.0312,46.1875,28.9696,40300
1995-01-13,46.4375,46.7344,46.375,46.7344,29.3126,170600
1995-01-16,46.7188,47.0312,46.7188,47.0156,29.489,105100
1995-01-17,46.9219,47.0625,46.8594,47.0312,29.4988,89500
1995-01-18,47.0,47.0781,46.875,46.9844,29.4694,84500
1995-01-19,46.8281,46.875,46.6875,46.7188,29.3028,139100
1995-01-20,46.6562,46.6719,46.4531,46.5469,29.195,78700
1995-01-23,46.2344,46.6875,46.2031,46.6875,29.2832,53700
1995-01-24,46.6719,46.75,46.6406,46.75,29.3224,32400
1995-01-25,46.5156,47.0469,46.5156,46.875,29.4008,15700
1995-01-26,46.8438,46.9844,46.75,46.9219,29.4302,9800
1995-01-27,47.2344,47.2344,46.9219,47.1094,29.5478,91200
1995-01-30,47.0156,47.0469,46.8438,46.9062,29.4204,26600
1995-01-31,47.0,47.1719,46.9219,47.0938,29.538,127500
1995-02-01,47.1562,47.3281,47.0,47.0781,29.5282,380200
1995-02-02,47.0625,47.3594,47.0625,47.3594,29.7046,131700
1995-02-03,47.6562,48.1094,47.5781,48.0312,30.126,405100
1995-02-06,48.0156,48.375,47.9688,48.2344,30.2534,405400
1995-02-07,48.3125,48.3125,48.1406,48.2969,30.2926,702900
1995-02-08,48.2344,48.4688,48.2031,48.2969,30.2926,521500
1995-02-09,48.2188,48.2969,48.125,48.2969,30.2926,390700
1995-02-10,48.2344,48.3594,48.0938,48.3594,30.3318,148300
1995-02-13,48.3281,48.4688,48.3281,48.375,30.3416,79700
1995-02-14,48.5312,48.5312,48.25,48.4375,30.3808,170200
1995-02-15,48.4375,48.7656,48.3906,48.7031,30.5474,431500
1995-02-16,48.6406,48.6875,48.5,48.6406,30.5082,99300
1995-02-17,48.5938,48.625,48.4375,48.4531,30.3906,49100
1995-02-21,48.4531,48.5312,48.4219,48.4375,30.3808,168000
1995-02-22,48.4844,48.7969,48.4531,48.7969,30.6062,386400
1995-02-23,48.9844,49.1562,48.8594,48.875,30.6552,402800
1995-02-24,48.9375,49.0156,48.8125,49.0,30.7336,307600
1995-02-27,48.8594,49.0,48.5312,48.6094,30.4886,280900
1995-02-28,48.5625,49.0156,48.5625,49.0156,30.7434,493500
1995-03-01,48.9688,49.0312,48.6562,48.7031,30.5474,242600
1995-03-02,48.6875,48.7656,48.5469,48.7656,30.5866,488600
1995-03-03,48.6094,48.7812,48.4844,48.7812,30.5964,290000
1995-03-06,48.4531,48.8125,48.3906,48.8125,30.616,85700
1995-03-07,48.6406,48.75,48.2188,48.4375,30.3808,180900
1995-03-08,48.5156,48.625,48.3438,48.5625,30.4592,155900
1995-03-09,48.5469,48.5938,48.4219,48.5469,30.4494,63500
1995-03-10,48.5938,49.3906,48.5312,49.2656,30.9002,192100
1995-03-13,49.2344,49.3906,49.1719,49.2188,30.8708,261300
1995-03-14,49.3594,49.6406,49.3594,49.5781,31.0962,223300
1995-03-15,49.5,49.5781,49.2969,49.4844,31.0374,278500
1995-03-16,49.4375,49.8125,49.4375,49.7812,31.2236,20400
1995-03-17,49.4375,49.625,49.4062,49.5625,31.2547,89900
1995-03-20,49.625,49.625,49.4688,49.5625,31.2547,91700
1995-03-21,49.5625,49.875,49.3594,49.4375,31.1758,104400
1995-03-22,49.5312,49.5312,49.3281,49.4844,31.2054,74900
1995-03-23,49.4219,49.6562,49.3594,49.5156,31.2251,220500
1995-03-24,49.6719,50.2188,49.6719,50.2188,31.6685,134000
1995-03-27,50.2969,50.4219,50.1719,50.4219,31.7966,132100
1995-03-28,50.2969,50.4219,50.2344,50.4219,31.7966,121900
1995-03-29,50.375,50.8906,50.125,50.4062,31.7868,246100
1995-03-30,50.5156,50.5156,50.1094,50.3125,31.7277,298400
1995-03-31,49.9219,50.1719,49.5469,50.1094,31.5995,541300
1995-04-03,50.0938,50.2344,50.0625,50.2344,31.6784,193300
1995-04-04,50.25,50.5625,50.25,50.5625,31.8853,66900
1995-04-05,50.4531,50.6094,50.4219,50.5625,31.8853,107200
1995-04-06,50.6875,50.7969,50.5938,50.75,32.0035,352500
1995-04-07,50.8594,50.8594,50.4688,50.7031,31.974,361400
1995-04-10,50.625,50.7969,50.5938,50.7969,32.0331,285400
1995-04-11,50.9219,50.9375,50.5938,50.625,31.9247,250300
1995-04-12,50.7031,50.7969,50.6094,50.7969,32.0331,150900
1995-04-13,50.8906,51.0938,50.8594,51.0781,32.2104,243400
1995-04-17,51.2656,51.3125,50.625,50.7812,32.0232,178900
1995-04-18,50.8281,50.8281,50.4844,50.6094,31.9149,329500
1995-04-19,50.6094,50.7188,50.2969,50.5625,31.8853,223000
1995-04-20,50.7031,50.7812,50.4375,50.6406,31.9346,207900
1995-04-21,50.6562,50.9062,50.6562,50.8906,32.0922,145000
1995-04-24,50.8594,51.4844,50.8594,51.4844,32.4667,169000
1995-04-25,51.4062,51.4844,51.3125,51.3438,32.3779,293200
1995-04-26,51.25,51.4219,51.125,51.3906,32.4075,204400
1995-04-27,51.3125,51.5469,51.2812,51.5156,32.4863,502200
1995-04-28,51.5,51.6719,51.1719,51.5938,32.5356,130800
1995-05-01,51.5469,51.6562,51.4531,51.4531,32.4469,518700
1995-05-02,51.5,51.6406,51.3906,51.5625,32.5159,228400
1995-05-03,51.7344,52.2812,51.7344,52.2812,32.9691,724700
1995-05-04,52.3438,52.6875,52.125,52.25,32.9494,311400
1995-05-05,52.4688,52.4688,52.0781,52.1875,32.91,314900
1995-05-08,52.1406,52.7344,52.0938,52.5625,33.1465,183100
1995-05-09,52.7812,52.8438,52.4375,52.5156,33.117,180600
1995-05-10,52.6562,52.6719,52.3281,52.5781,33.1564,330300
1995-05-11,52.6562,52.7188,52.4844,52.7188,33.2451,351700
1995-05-12,52.5156,52.875,52.5,52.75,33.2648,94600
1995-05-15,52.8906,53.0,52.7812,53.0,33.4224,147200
1995-05-16,52.9844,53.1562,52.8906,53.0312,33.4421,221600
1995-05-17,53.0312,53.0469,52.7812,52.8281,33.314,189200
1995-05-18,52.7344,52.7656,52.0625,52.0625,32.8312,577800
1995-05-19,51.9844,52.1875,51.9062,52.0938,32.8509,363900
1995-05-22,52.2656,52.75,52.2344,52.6719,33.2155,216000
1995-05-23,52.7656,53.1562,52.6094,53.1562,33.5209,136800
1995-05-24,53.25,53.4219,52.7969,53.125,33.5012,370800
1995-05-25,52.9688,53.2188,52.7188,53.1719,33.5308,379900
1995-05-26,52.9688,52.9844,52.3594,52.5625,33.1465,518600
1995-05-30,52.6875,52.8281,52.375,52.5469,33.1367,61500
1995-05-31,52.4531,53.6406,52.4531,53.6406,33.8264,564500
1995-06-01,53.4062,53.9062,53.25,53.5,33.7377,810100
1995-06-02,53.2812,53.9219,53.0938,53.5469,33.7673,112900
1995-06-05,53.5469,54.0469,53.5,53.875,33.9742,257200
1995-06-06,53.8281,54.0156,53.7812,53.7812,33.9151,165800
1995-06-07,53.6719,53.7031,53.4375,53.5,33.7377,41900
1995-06-08,53.4844,53.6406,53.375,53.375,33.6589,141100
1995-06-09,53.2656,53.3281,52.75,53.0625,33.4618,304900
1995-06-12,53.2344,53.5781,53.2031,53.3594,33.649,378500
1995-06-13,53.6094,53.9688,53.5625,53.9375,34.0136,120000
